system:index,B2_max,B2_max_1,B2_mean,B2_median,B2_min,B2_stdDev,B3_max,B3_max_1,B3_mean,B3_median,B3_min,B3_stdDev,B4_max,B4_max_1,B4_mean,B4_median,B4_min,B4_stdDev,B5_max,B5_max_1,B5_mean,B5_median,B5_min,B5_stdDev,B6_max,B6_max_1,B6_mean,B6_median,B6_min,B6_stdDev,B7_max,B7_max_1,B7_mean,B7_median,B7_min,B7_stdDev,Cultivo,GlobalId,NDVI_max,NDVI_max_1,NDVI_mean,NDVI_median,NDVI_min,NDVI_stdDev,SAVI_max,SAVI_max_1,SAVI_mean,SAVI_median,SAVI_min,SAVI_stdDev,.geo
00000000000000000593_0,584,478,354,339,106,134,1172,952,597,536,220,252,1283,1078,730,742,205,277,2387,1451,1481,1393,936,409,2194,1677,1103,1021,517,463,1728,1362,893,812,366,408,A,28,7126,6023,3518,3280,1103,1460,10686,9032,5275,4919,1654,2189,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.17738646373895,-33.81442884059124]}"
00000000000000000594_0,714,558,355,339,156,158,1138,812,605,566,326,226,1395,1085,718,697,310,307,2638,1369,1731,1587,1269,413,2545,1782,1421,1344,763,534,1895,1466,1010,1030,429,443,A,28,6538,3481,4308,4109,3057,1143,9804,5218,6461,6163,4586,1714,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.177116969153715,-33.81469833517647]}"
00000000000000000595_0,966,856,452,448,110,245,1467,1156,732,676,311,335,1866,1566,908,885,300,437,2923,2074,1626,1507,849,585,2460,1949,1319,1222,511,591,2492,2107,1081,799,385,626,A,28,6080,5077,3038,2334,1003,1390,9118,7614,4556,3501,1504,2084,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.177116969153715,-33.814159346006]}"
00000000000000000596_0,484,379,313,297,105,105,872,590,539,533,282,143,1114,872,679,685,242,230,2028,972,1514,1401,1056,346,1954,1286,1163,1150,668,346,1610,1204,887,854,406,338,A,28,6271,4378,3883,4033,1893,1322,9403,6564,5824,6049,2839,1982,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.17738646373895,-33.81469833517647]}"
00000000000000000597_0,1124,1011,528,477,113,266,1573,1244,852,770,329,336,2004,1659,1028,976,345,461,3058,1988,1943,1840,1070,543,3066,2425,1683,1471,641,667,2613,2187,1313,1171,426,626,A,28,6134,4487,3318,2703,1647,1331,9199,6728,4976,4054,2471,1996,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.17738646373895,-33.814159346006]}"
00000000000000000598_0,1124,1011,528,477,113,266,1573,1244,852,770,329,336,2004,1659,1028,976,345,461,3058,1988,1943,1840,1070,543,3066,2425,1683,1471,641,667,2613,2187,1313,1171,426,626,A,28,6134,4487,3318,2703,1647,1331,9199,6728,4976,4054,2471,1996,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.17738646373895,-33.814159346006]}"
00000000000000000599_0,584,478,354,339,106,134,1172,952,597,536,220,252,1283,1078,730,742,205,277,2387,1451,1481,1393,936,409,2194,1677,1103,1021,517,463,1728,1362,893,812,366,408,A,28,7126,6023,3518,3280,1103,1460,10686,9032,5275,4919,1654,2189,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.17765595832419,-33.81442884059124]}"
0000000000000000059a_0,484,379,313,297,105,105,872,590,539,533,282,143,1114,872,679,685,242,230,2028,972,1514,1401,1056,346,1954,1286,1163,1150,668,346,1610,1204,887,854,406,338,A,28,6271,4378,3883,4033,1893,1322,9403,6564,5824,6049,2839,1982,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.17765595832419,-33.81469833517647]}"
0000000000000000059b_0,558,462,279,280,96,139,839,679,440,380,160,177,1103,937,524,472,166,258,2320,1738,1231,1149,582,460,2280,2030,941,850,250,503,1751,1584,689,613,167,422,A,28,6171,3520,4148,3848,2651,1123,9254,5278,6221,5770,3976,1684,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.17684747456848,-33.81442884059124]}"
0000000000000000059c_0,802,680,360,347,122,184,1120,949,540,483,171,243,1524,1338,674,551,186,354,2373,1870,1281,1100,503,478,2242,1996,1008,818,246,570,2047,1866,820,632,181,536,A,28,5897,4167,3347,3101,1730,1125,8842,6248,5019,4651,2594,1687,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.17684747456848,-33.814159346006]}"
0000000000000000059d_0,558,462,279,280,96,139,839,679,440,380,160,177,1103,937,524,472,166,258,2320,1738,1231,1149,582,460,2280,2030,941,850,250,503,1751,1584,689,613,167,422,A,28,6171,3520,4148,3848,2651,1123,9254,5278,6221,5770,3976,1684,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.17684747456848,-33.81469833517647]}"
0000000000000000059e_0,484,379,313,297,105,105,872,590,539,533,282,143,1114,872,679,685,242,230,2028,972,1514,1401,1056,346,1954,1286,1163,1150,668,346,1610,1204,887,854,406,338,A,28,6271,4378,3883,4033,1893,1322,9403,6564,5824,6049,2839,1982,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.17738646373895,-33.81469833517647]}"
0000000000000000059f_0,1124,1011,528,477,113,266,1573,1244,852,770,329,336,2004,1659,1028,976,345,461,3058,1988,1943,1840,1070,543,3066,2425,1683,1471,641,667,2613,2187,1313,1171,426,626,A,28,6134,4487,3318,2703,1647,1331,9199,6728,4976,4054,2471,1996,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.17765595832419,-33.814159346006]}"
00000000000000000c2a_0,744,477,470,487,267,183,979,470,762,782,509,171,1252,999,808,815,253,382,6456,4208,3472,2519,2248,1553,3516,1562,2695,2576,1954,519,2706,1733,1662,1632,973,633,G,443,9245,6400,5603,5111,2845,2456,13866,9599,8403,7665,4267,3685,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-61.73649332229309,-33.80445754093751]}"
00000000000000000c2b_0,788,526,488,537,262,198,1013,512,762,798,501,178,1257,1008,803,903,249,373,6383,4247,3412,2317,2136,1595,3509,1492,2739,2655,2017,506,2688,1720,1724,1848,968,654,G,443,9249,6364,5484,4259,2885,2556,13872,9545,8226,6388,4327,3834,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-61.73568483853738,-33.8036490571818]}"
00000000000000000c2c_0,825,571,513,588,254,215,1040,528,772,805,512,182,1318,1063,829,960,255,389,6434,4445,3316,2235,1989,1684,3656,1663,2822,2855,1993,554,2893,1919,1826,2061,974,732,G,443,9237,6657,5190,3489,2580,2720,13855,9985,7784,5233,3870,4080,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-61.73649332229309,-33.8036490571818]}"
