Id,Cultivo,Longitud,Latitud,Elevacion,Dataset,Campania,GlobalId
4382,X,-61.898290468006785,-33.599848162696595,106.229927,BC,19/20,551
4385,X,-61.898290468006785,-33.5991481626966,106.229927,BC,19/20,551
4384,X,-61.89794046800679,-33.5994981626966,106.229927,BC,19/20,551
4383,X,-61.89864046800678,-33.5994981626966,106.229927,BC,19/20,551
4388,X,-61.89844046800678,-33.5993481626966,106.229927,BC,19/20,551
4381,X,-61.89794046800679,-33.599848162696595,106.229927,BC,19/20,551
4380,X,-61.89864046800678,-33.5991481626966,106.229927,BC,19/20,551
4379,X,-61.89794046800679,-33.5991481626966,106.229927,BC,19/20,551
4378,X,-61.89864046800678,-33.599848162696595,106.229927,BC,19/20,551
294,X,-61.898290468006785,-33.5994981626966,106.229927,BC,19/20,551
4389,X,-61.89814046800679,-33.599648162696596,106.229927,BC,19/20,551
4386,X,-61.89844046800678,-33.599648162696596,106.229927,BC,19/20,551
4387,X,-61.89814046800679,-33.5993481626966,106.229927,BC,19/20,551
4390,S,-61.895444762005106,-33.59298125066982,103.75729399999999,BC,19/20,554
4391,S,-61.89474476200511,-33.59228125066983,103.75729399999999,BC,19/20,554
4392,S,-61.895444762005106,-33.59228125066983,103.75729399999999,BC,19/20,554
4393,S,-61.89474476200511,-33.59298125066982,103.75729399999999,BC,19/20,554
4394,S,-61.89509476200511,-33.59298125066982,103.75729399999999,BC,19/20,554
4395,S,-61.895444762005106,-33.592631250669825,103.75729399999999,BC,19/20,554
4396,S,-61.89474476200511,-33.592631250669825,103.75729399999999,BC,19/20,554
4397,S,-61.89509476200511,-33.59228125066983,103.75729399999999,BC,19/20,554
4398,S,-61.895244762005106,-33.59278125066982,103.75729399999999,BC,19/20,554
4399,S,-61.89494476200511,-33.59248125066983,103.75729399999999,BC,19/20,554
295,S,-61.89509476200511,-33.592631250669825,103.75729399999999,BC,19/20,554
4400,S,-61.895244762005106,-33.59248125066983,103.75729399999999,BC,19/20,554
4401,S,-61.89494476200511,-33.59278125066982,103.75729399999999,BC,19/20,554
4402,X,-61.906838148619705,-33.5888917062615,105.558121,BC,19/20,555
4403,X,-61.90613814861971,-33.588191706261505,105.558121,BC,19/20,555
4404,X,-61.906838148619705,-33.588191706261505,105.558121,BC,19/20,555
4405,X,-61.90613814861971,-33.5888917062615,105.558121,BC,19/20,555
4406,X,-61.90648814861971,-33.5888917062615,105.558121,BC,19/20,555
4407,X,-61.906838148619705,-33.5885417062615,105.558121,BC,19/20,555
4408,X,-61.90613814861971,-33.5885417062615,105.558121,BC,19/20,555
4409,X,-61.90648814861971,-33.588191706261505,105.558121,BC,19/20,555
4410,X,-61.906638148619706,-33.5886917062615,105.558121,BC,19/20,555
4411,X,-61.90633814861971,-33.588391706261504,105.558121,BC,19/20,555
4412,X,-61.906638148619706,-33.588391706261504,105.558121,BC,19/20,555
4413,X,-61.90633814861971,-33.5886917062615,105.558121,BC,19/20,555
296,X,-61.90648814861971,-33.5885417062615,105.558121,BC,19/20,555
4414,X,-61.87543686355997,-33.63031830822912,104.065208,BC,19/20,557
4424,X,-61.87523686355997,-33.629818308229126,104.065208,BC,19/20,557
4423,X,-61.874936863559974,-33.629818308229126,104.065208,BC,19/20,557
4422,X,-61.87523686355997,-33.63011830822912,104.065208,BC,19/20,557
4421,X,-61.87508686355997,-33.62961830822913,104.065208,BC,19/20,557
297,X,-61.87508686355997,-33.629968308229124,104.065208,BC,19/20,557
4420,X,-61.874736863559974,-33.629968308229124,104.065208,BC,19/20,557
4419,X,-61.87543686355997,-33.629968308229124,104.065208,BC,19/20,557
4418,X,-61.87508686355997,-33.63031830822912,104.065208,BC,19/20,557
4417,X,-61.874736863559974,-33.63031830822912,104.065208,BC,19/20,557
4425,X,-61.874936863559974,-33.63011830822912,104.065208,BC,19/20,557
4415,X,-61.874736863559974,-33.62961830822913,104.065208,BC,19/20,557
4416,X,-61.87543686355997,-33.62961830822913,104.065208,BC,19/20,557
298,X,-61.883377173332384,-33.61893858814513,105.166229,BC,19/20,559
4430,X,-61.883377173332384,-33.619288588145125,105.166229,BC,19/20,559
4431,X,-61.88372717333238,-33.61893858814513,105.166229,BC,19/20,559
4432,X,-61.88302717333239,-33.61893858814513,105.166229,BC,19/20,559
4434,X,-61.88352717333238,-33.619088588145125,105.166229,BC,19/20,559
4435,X,-61.883227173332386,-33.61878858814513,105.166229,BC,19/20,559
4436,X,-61.88352717333238,-33.61878858814513,105.166229,BC,19/20,559
4437,X,-61.883227173332386,-33.619088588145125,105.166229,BC,19/20,559
4429,X,-61.88302717333239,-33.619288588145125,105.166229,BC,19/20,559
4428,X,-61.88372717333238,-33.61858858814513,105.166229,BC,19/20,559
4433,X,-61.883377173332384,-33.61858858814513,105.166229,BC,19/20,559
4426,X,-61.88372717333238,-33.619288588145125,105.166229,BC,19/20,559
4427,X,-61.88302717333239,-33.61858858814513,105.166229,BC,19/20,559
4449,M,-61.88591341895696,-33.61480744232178,106.01531999999999,BC,19/20,561
4448,M,-61.886213418956956,-33.61450744232179,106.01531999999999,BC,19/20,561
4447,M,-61.88591341895696,-33.61450744232179,106.01531999999999,BC,19/20,561
4446,M,-61.886213418956956,-33.61480744232178,106.01531999999999,BC,19/20,561
4444,M,-61.88571341895696,-33.614657442321786,106.01531999999999,BC,19/20,561
4443,M,-61.886413418956955,-33.614657442321786,106.01531999999999,BC,19/20,561
4442,M,-61.88606341895696,-33.61500744232178,106.01531999999999,BC,19/20,561
4441,M,-61.88571341895696,-33.61500744232178,106.01531999999999,BC,19/20,561
4440,M,-61.886413418956955,-33.61430744232179,106.01531999999999,BC,19/20,561
4445,M,-61.88606341895696,-33.61430744232179,106.01531999999999,BC,19/20,561
4438,M,-61.886413418956955,-33.61500744232178,106.01531999999999,BC,19/20,561
299,M,-61.88606341895696,-33.614657442321786,106.01531999999999,BC,19/20,561
4439,M,-61.88571341895696,-33.61430744232179,106.01531999999999,BC,19/20,561
4461,S,-61.87975357985233,-33.61168322872211,106.01531999999999,BC,19/20,562
4460,S,-61.88005357985232,-33.61138322872211,106.01531999999999,BC,19/20,562
4459,S,-61.87975357985233,-33.61138322872211,106.01531999999999,BC,19/20,562
4458,S,-61.88005357985232,-33.61168322872211,106.01531999999999,BC,19/20,562
4457,S,-61.879903579852325,-33.61118322872211,106.01531999999999,BC,19/20,562
4456,S,-61.87955357985233,-33.61153322872211,106.01531999999999,BC,19/20,562
4455,S,-61.88025357985232,-33.61153322872211,106.01531999999999,BC,19/20,562
4454,S,-61.879903579852325,-33.61188322872211,106.01531999999999,BC,19/20,562
4453,S,-61.87955357985233,-33.61188322872211,106.01531999999999,BC,19/20,562
4451,S,-61.87955357985233,-33.61118322872211,106.01531999999999,BC,19/20,562
4450,S,-61.88025357985232,-33.61188322872211,106.01531999999999,BC,19/20,562
300,S,-61.879903579852325,-33.61153322872211,106.01531999999999,BC,19/20,562
4452,S,-61.88025357985232,-33.61118322872211,106.01531999999999,BC,19/20,562
4467,M,-61.88525555446361,-33.60586307036931,107.200317,BC,19/20,564
4473,M,-61.88475555446362,-33.60601307036931,107.200317,BC,19/20,564
4472,M,-61.88505555446361,-33.60571307036931,107.200317,BC,19/20,564
4471,M,-61.88475555446362,-33.60571307036931,107.200317,BC,19/20,564
4470,M,-61.88505555446361,-33.60601307036931,107.200317,BC,19/20,564
4469,M,-61.884905554463614,-33.60551307036931,107.200317,BC,19/20,564
4468,M,-61.88455555446362,-33.60586307036931,107.200317,BC,19/20,564
4466,M,-61.884905554463614,-33.60621307036931,107.200317,BC,19/20,564
4465,M,-61.88455555446362,-33.60621307036931,107.200317,BC,19/20,564
4464,M,-61.88525555446361,-33.60551307036931,107.200317,BC,19/20,564
4463,M,-61.88455555446362,-33.60551307036931,107.200317,BC,19/20,564
4462,M,-61.88525555446361,-33.60621307036931,107.200317,BC,19/20,564
301,M,-61.884905554463614,-33.60586307036931,107.200317,BC,19/20,564
4485,S,-61.91995463506155,-33.56032962780671,104.765007,BC,19/20,566
4484,S,-61.920254635061546,-33.56002962780671,104.765007,BC,19/20,566
4483,S,-61.91995463506155,-33.56002962780671,104.765007,BC,19/20,566
4482,S,-61.920254635061546,-33.56032962780671,104.765007,BC,19/20,566
