Id,Cultivo,Longitud,Latitud,Elevacion,Dataset,Campania,GlobalId
2116,M,-62.15526768921365,-33.80189165962358,105.698082,BC,18/19,4
2114,M,-62.15526768921365,-33.80159165962358,105.698082,BC,18/19,4
2113,M,-62.15556768921365,-33.80189165962358,105.698082,BC,18/19,4
2112,M,-62.15541768921365,-33.80139165962358,105.698082,BC,18/19,4
2111,M,-62.15506768921365,-33.80174165962358,105.698082,BC,18/19,4
2110,M,-62.15576768921365,-33.80174165962358,105.698082,BC,18/19,4
2115,M,-62.15556768921365,-33.80159165962358,105.698082,BC,18/19,4
2108,M,-62.15506768921365,-33.80209165962358,105.698082,BC,18/19,4
2109,M,-62.15541768921365,-33.80209165962358,105.698082,BC,18/19,4
2105,M,-62.15576768921365,-33.80209165962358,105.698082,BC,18/19,4
126,M,-62.15541768921365,-33.80174165962358,105.698082,BC,18/19,4
2107,M,-62.15576768921365,-33.80139165962358,105.698082,BC,18/19,4
2106,M,-62.15506768921365,-33.80139165962358,105.698082,BC,18/19,4
345,N,-62.163615369826594,-33.80809159971218,104.233162,BC,18/19,6
4744,N,-62.163465369826596,-33.808241599712176,104.233162,BC,18/19,6
4733,N,-62.16396536982659,-33.808441599712175,104.233162,BC,18/19,6
4734,N,-62.1632653698266,-33.80774159971218,104.233162,BC,18/19,6
4737,N,-62.163615369826594,-33.808441599712175,104.233162,BC,18/19,6
4738,N,-62.16396536982659,-33.80809159971218,104.233162,BC,18/19,6
4739,N,-62.1632653698266,-33.80809159971218,104.233162,BC,18/19,6
4740,N,-62.163615369826594,-33.80774159971218,104.233162,BC,18/19,6
4741,N,-62.16376536982659,-33.808241599712176,104.233162,BC,18/19,6
4742,N,-62.163465369826596,-33.80794159971218,104.233162,BC,18/19,6
4743,N,-62.16376536982659,-33.80794159971218,104.233162,BC,18/19,6
4735,N,-62.16396536982659,-33.80774159971218,104.233162,BC,18/19,6
4736,N,-62.1632653698266,-33.808441599712175,104.233162,BC,18/19,6
5686,M,-62.09755026248786,-33.778627748600684,98.532104,BC,18/19,9
5685,M,-62.09720026248786,-33.77897774860068,98.532104,BC,18/19,9
5684,M,-62.09685026248786,-33.77897774860068,98.532104,BC,18/19,9
5683,M,-62.09755026248786,-33.778277748600686,98.532104,BC,18/19,9
5689,M,-62.09735026248786,-33.77877774860068,98.532104,BC,18/19,9
5682,M,-62.09685026248786,-33.778277748600686,98.532104,BC,18/19,9
5681,M,-62.09755026248786,-33.77897774860068,98.532104,BC,18/19,9
5688,M,-62.09720026248786,-33.778277748600686,98.532104,BC,18/19,9
5690,M,-62.09705026248786,-33.778477748600686,98.532104,BC,18/19,9
424,M,-62.09720026248786,-33.778627748600684,98.532104,BC,18/19,9
5692,M,-62.09705026248786,-33.77877774860068,98.532104,BC,18/19,9
5691,M,-62.09735026248786,-33.778477748600686,98.532104,BC,18/19,9
5687,M,-62.09685026248786,-33.778627748600684,98.532104,BC,18/19,9
438,N,-62.09946967689482,-33.775894467381505,98.532104,BC,18/19,10
5859,N,-62.09961967689482,-33.77574446738151,98.532104,BC,18/19,10
5850,N,-62.09911967689482,-33.77554446738151,98.532104,BC,18/19,10
5849,N,-62.09981967689482,-33.7762444673815,98.532104,BC,18/19,10
5858,N,-62.09931967689482,-33.77574446738151,98.532104,BC,18/19,10
5851,N,-62.09981967689482,-33.77554446738151,98.532104,BC,18/19,10
5852,N,-62.09911967689482,-33.7762444673815,98.532104,BC,18/19,10
5853,N,-62.09946967689482,-33.7762444673815,98.532104,BC,18/19,10
5854,N,-62.09981967689482,-33.775894467381505,98.532104,BC,18/19,10
5855,N,-62.09911967689482,-33.775894467381505,98.532104,BC,18/19,10
5856,N,-62.09946967689482,-33.77554446738151,98.532104,BC,18/19,10
5857,N,-62.09961967689482,-33.7760444673815,98.532104,BC,18/19,10
5860,N,-62.09931967689482,-33.7760444673815,98.532104,BC,18/19,10
6952,S,-62.13104516401269,-33.7894213153716,103.085487,BC,18/19,14
6951,S,-62.131345164012686,-33.7891213153716,103.085487,BC,18/19,14
6950,S,-62.13104516401269,-33.7891213153716,103.085487,BC,18/19,14
6949,S,-62.131345164012686,-33.7894213153716,103.085487,BC,18/19,14
6948,S,-62.13119516401269,-33.7889213153716,103.085487,BC,18/19,14
529,S,-62.13119516401269,-33.7892713153716,103.085487,BC,18/19,14
6946,S,-62.131545164012685,-33.7892713153716,103.085487,BC,18/19,14
6945,S,-62.13119516401269,-33.7896213153716,103.085487,BC,18/19,14
6944,S,-62.13084516401269,-33.7896213153716,103.085487,BC,18/19,14
6943,S,-62.131545164012685,-33.7889213153716,103.085487,BC,18/19,14
6942,S,-62.13084516401269,-33.7889213153716,103.085487,BC,18/19,14
6941,S,-62.131545164012685,-33.7896213153716,103.085487,BC,18/19,14
6947,S,-62.13084516401269,-33.7892713153716,103.085487,BC,18/19,14
3559,S,-62.14057650706085,-33.79673473742619,101.863167,BC,18/19,15
3560,S,-62.139876507060855,-33.79743473742619,101.863167,BC,18/19,15
3561,S,-62.14022650706085,-33.79743473742619,101.863167,BC,18/19,15
3562,S,-62.14057650706085,-33.79708473742619,101.863167,BC,18/19,15
3558,S,-62.139876507060855,-33.79673473742619,101.863167,BC,18/19,15
3564,S,-62.14022650706085,-33.79673473742619,101.863167,BC,18/19,15
3565,S,-62.14037650706085,-33.79723473742619,101.863167,BC,18/19,15
3567,S,-62.14037650706085,-33.79693473742619,101.863167,BC,18/19,15
3568,S,-62.140076507060854,-33.79723473742619,101.863167,BC,18/19,15
3563,S,-62.139876507060855,-33.79708473742619,101.863167,BC,18/19,15
3566,S,-62.140076507060854,-33.79693473742619,101.863167,BC,18/19,15
3557,S,-62.14057650706085,-33.79743473742619,101.863167,BC,18/19,15
247,S,-62.14022650706085,-33.79708473742619,101.863167,BC,18/19,15
2979,N,-62.174371408585706,-33.817677259273076,103.561348,BC,18/19,27
2978,N,-62.17407140858571,-33.817677259273076,103.561348,BC,18/19,27
2977,N,-62.174371408585706,-33.81797725927307,103.561348,BC,18/19,27
2976,N,-62.17422140858571,-33.817477259273076,103.561348,BC,18/19,27
2975,N,-62.17387140858571,-33.81782725927307,103.561348,BC,18/19,27
2974,N,-62.174571408585706,-33.81782725927307,103.561348,BC,18/19,27
2973,N,-62.17422140858571,-33.81817725927307,103.561348,BC,18/19,27
198,N,-62.17422140858571,-33.81782725927307,103.561348,BC,18/19,27
2972,N,-62.17387140858571,-33.81817725927307,103.561348,BC,18/19,27
2971,N,-62.174571408585706,-33.817477259273076,103.561348,BC,18/19,27
2970,N,-62.17387140858571,-33.817477259273076,103.561348,BC,18/19,27
2969,N,-62.174571408585706,-33.81817725927307,103.561348,BC,18/19,27
2980,N,-62.17407140858571,-33.81797725927307,103.561348,BC,18/19,27
3751,A,-62.17762817084816,-33.814091068574186,103.561348,BC,18/19,28
3760,A,-62.177128170848164,-33.81459106857418,103.561348,BC,18/19,28
